MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA,sold_price_bin,total_bed_bath,sold_price_log,lot_acres_log,sold_price_category,zip,city,state_id,price_per_sqrt_ft,cv,maintenance_cost,volatility_risk,sold_price_risk,maintenance_risk,age_risk,weighted_score,final_risk,risk_category
21528006,625000.0,85718,-110.927574,32.341858,1.0,5150.09,1986,4,3.0,3368.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Mexican Tile",100.0,"(575000.0, 635000.0]",7.0,13.34550852871726,0.6931471805599453,Mid,85718,Tucson,AZ,185.57007125890738,0.23009985797140417,5250.09,Low,Medium,Medium,High,1.6,Medium,3
21501674,640000.0,85718,-110.903189,32.323772,1.13,4520.41,1977,4,4.0,3366.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Ceramic Tile, Wood",0.0,"(635000.0, 727000.0]",8.0,13.369225017834632,0.7561219797213337,Higher Mid,85718,Tucson,AZ,190.13666072489602,0.23009985797140417,4520.41,Low,Medium,Low,High,1.5000000000000002,Medium,3
21602739,631000.0,85749,-110.794018,32.253704,0.61,6145.97,1997,5,4.0,4010.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Concrete, Wood, Other",141.0,"(575000.0, 635000.0]",9.0,13.355062726308148,0.4762341789963716,Mid,85749,Tucson,AZ,157.356608478803,0.29008670230429356,6286.97,High,Medium,Medium,Low,2.4000000000000004,Medium,3
21615132,610000.0,85749,-110.727023,32.269708,6.63,9247.0,2006,5,5.0,5270.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Natural Stone, Wood",0.0,"(575000.0, 635000.0]",10.0,13.321215875492411,2.032087845296365,Mid,85749,Tucson,AZ,115.74952561669829,0.29008670230429356,9247.0,High,Medium,High,Low,2.5000000000000004,High,1
21609262,625000.0,85750,-110.812505,32.27526,0.5,5773.0,1984,5,4.0,4010.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Concrete, Natural Stone, Wood, Other",59.0,"(575000.0, 635000.0]",9.0,13.34550852871726,0.4054651081081644,Mid,85750,Tucson,AZ,155.86034912718205,0.2476370394592814,5832.0,Medium,Medium,Medium,High,2.1,Medium,3
21611774,635000.0,85658,-111.068943,32.435012,0.23,7457.61,2013,4,3.0,2777.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,Ceramic Tile,119.0,"(575000.0, 635000.0]",7.0,13.361381852676738,0.2070141693843261,Mid,85658,Marana,AZ,228.66402592725964,0.3926767832167278,7576.61,High,Medium,Medium,Low,2.4000000000000004,Medium,3
21622662,600000.0,85718,-110.932454,32.303437,1.18,5336.44,2001,4,4.0,2872.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Ceramic Tile, Wood",0.0,"(575000.0, 635000.0]",8.0,13.304686600863562,0.7793248768009976,Mid,85718,Tucson,AZ,208.91364902506965,0.23009985797140417,5336.44,Low,Medium,Medium,Low,1.4000000000000001,Low,2
21704404,600000.0,85716,-110.92468,32.222501,0.96,5102.08,1954,4,3.0,3774.0,3.0,"Dishwasher, Garbage Disposal, Oven",1,"Concrete, Mexican Tile",0.0,"(575000.0, 635000.0]",7.0,13.304686600863562,0.6729444732424258,Mid,85716,Tucson,AZ,158.9825119236884,0.21424462821027795,5102.08,Low,Medium,Medium,High,1.6,Medium,3
21229233,623000.0,85641,-110.658691,32.08999,3.4,6467.0,2006,4,5.0,4380.0,3.0,"Dishwasher, Oven",2,"Carpet, Natural Stone, Wood",65.0,"(575000.0, 635000.0]",9.0,13.342303402904738,1.4816045409242156,Mid,85641,Vail,AZ,142.23744292237444,0.150046862738127,6532.0,Low,Medium,Medium,Low,1.4000000000000001,Low,2
21314134,650000.0,85750,-110.864059,32.319786,0.94,6340.19,1994,5,3.0,3523.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",35.0,"(635000.0, 727000.0]",8.0,13.384729180332174,0.6626879730752367,Higher Mid,85750,Tucson,AZ,184.50184501845018,0.2476370394592814,6375.19,Medium,Medium,Medium,Low,1.9000000000000001,Medium,3
21307490,607000.0,85718,-110.892318,32.317141,0.92,5066.64,1964,7,5.0,5006.0,6.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Ceramic Tile, Natural Stone, Wood",21.0,"(575000.0, 635000.0]",12.0,13.316285717486736,0.6523251860396903,Mid,85718,Tucson,AZ,121.25449460647224,0.23009985797140417,5087.64,Low,Medium,Medium,High,1.6,Medium,3
21322953,625000.0,85718,-110.889469,32.315438,0.73,4908.59,1968,4,4.0,4181.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile",21.0,"(575000.0, 635000.0]",8.0,13.34550852871726,0.5481214085096876,Mid,85718,Tucson,AZ,149.4857689547955,0.23009985797140417,4929.59,Low,Medium,Medium,High,1.6,Medium,3
21700136,550678.25,85718,-110.904848,32.285657,2.06,7511.42,1966,5,5.0,4022.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile, Other",0.0,"(168999.999, 575000.0]",10.0,13.218907795223457,1.118414915964289,Low,85718,Tucson,AZ,136.91652163102933,0.23009985797140417,7511.42,Low,Low,Medium,High,1.3,Low,2
21719085,640000.0,85716,-110.912552,32.224572,0.36,2080.87,1964,5,4.0,5758.0,0.0,"Dishwasher, Garbage Disposal, Refrigerator, Appliance Color: Stainless",2,"Carpet, Mexican Tile",0.0,"(635000.0, 727000.0]",9.0,13.369225017834632,0.3074846997479606,Higher Mid,85716,Tucson,AZ,111.14970475859674,0.21424462821027795,2080.87,Low,Medium,Low,High,1.5000000000000002,Medium,3
21721498,635000.0,85718,-110.898517,32.315889,0.81,6699.58,1998,4,3.0,3757.0,3.0,"Dishwasher, Garbage Disposal, Lazy Susan, Pantry: Cabinet, Refrigerator, Appliance Color: White, Countertops: GRANITE, Oven: DOUBLE",1,"Carpet, Ceramic Tile",105.0,"(575000.0, 635000.0]",7.0,13.361381852676738,0.5933268452777344,Mid,85718,Tucson,AZ,169.01783337769496,0.23009985797140417,6804.58,Low,Medium,Medium,Low,1.4000000000000001,Low,2
21727382,620000.0,85745,-111.075794,32.255169,4.56,5828.97,1998,3,3.0,2840.0,3.0,"Dishwasher, Double Sink, Electric Range, Freezer, Garbage Disposal, Lazy Susan, Pantry: Walk-In, Refrigerator, Reverse Osmosis, Appliance Color: Black, Countertops: Granite",1,"Natural Stone, Wood",0.0,"(575000.0, 635000.0]",6.0,13.3374763699232,1.715598108262491,Mid,85745,Tucson,AZ,218.30985915492957,0.27827454328546114,5828.97,High,Medium,Medium,Low,2.4000000000000004,Medium,3
21725408,649900.0,85658,-111.047787,32.431993,0.85,7694.34,2011,4,4.0,3541.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Reverse Osmosis, Water Purifier, Appliance Color: Stainless, Countertops: Granite, Microwave",1,"Carpet, Ceramic Tile, Wood",190.0,"(635000.0, 727000.0]",8.0,13.38457532257952,0.6151856390902335,Higher Mid,85658,Marana,AZ,183.53572437164644,0.3926767832167278,7884.34,High,Medium,Medium,Low,2.4000000000000004,Medium,3
21804451,630000.0,85719,-110.961392,32.234887,0.19,2406.48,1921,5,3.0,3096.0,0.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Refrigerator, Appliance Color: White",1,"Carpet, Ceramic Tile, Vinyl, Wood",0.0,"(575000.0, 635000.0]",8.0,13.353476685668044,0.173953307123438,Mid,85719,Tucson,AZ,203.48837209302326,0.26205205380613655,2406.48,High,Medium,Low,High,2.5,High,1
21812827,649900.0,85750,-110.851919,32.278543,0.89,6119.84,1996,3,3.0,3507.0,3.0,"Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: granite, Microwave: stainless, Oven: stainless",2,"Carpet, Ceramic Tile, Concrete",100.0,"(635000.0, 727000.0]",6.0,13.38457532257952,0.636576829071551,Higher Mid,85750,Tucson,AZ,185.31508411747933,0.2476370394592814,6219.84,Medium,Medium,Medium,Low,1.9000000000000001,Medium,3
21807859,620000.0,85658,-111.091368,32.459276,0.89,8471.08,2006,3,3.0,3052.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: Granite, Microwave: Built in, Oven: Built in",1,"Carpet, Natural Stone",88.0,"(575000.0, 635000.0]",6.0,13.3374763699232,0.636576829071551,Mid,85658,Marana,AZ,203.14547837483616,0.3926767832167278,8559.08,High,Medium,High,Low,2.5000000000000004,High,1
21805916,625000.0,85718,-110.897185,32.329955,0.83,4838.0,1966,5,3.0,3257.0,2.0,"Dishwasher, Double Sink, Electric Range, Garbage Disposal, Lazy Susan, Pantry: Cabinet, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: -, Oven: -",2,"Carpet, Ceramic Tile, Wood, Other: Itailian Porclaine",0.0,"(575000.0, 635000.0]",8.0,13.34550852871726,0.6043159668533296,Mid,85718,Tucson,AZ,191.8943813325146,0.23009985797140417,4838.0,Low,Medium,Low,High,1.5000000000000002,Medium,3
21825461,649900.0,85745,-111.067392,32.300365,1.08,5634.01,1989,3,3.0,3285.0,6.0,"Dishwasher, Garbage Disposal, Island, Pantry: Cabinet, Refrigerator, Reverse Osmosis, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless, Oven: Glass Top",2,"Carpet, Ceramic Tile, Other: Red Brick",0.0,"(635000.0, 727000.0]",6.0,13.38457532257952,0.7323678937132266,Higher Mid,85745,Tucson,AZ,197.8386605783866,0.27827454328546114,5634.01,High,Medium,Medium,Low,2.4000000000000004,Medium,3
21903221,637000.0,85750,-110.854665,32.321606,0.16,6030.13,1999,3,3.0,2218.0,2.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Countertops: granite, Microwave: yes, Oven: yes",1,"Carpet, Natural Stone",115.0,"(635000.0, 727000.0]",6.0,13.36452650441178,0.1484200051182732,Higher Mid,85750,Tucson,AZ,287.1956717763751,0.2476370394592814,6145.13,Medium,Medium,Medium,Low,1.9000000000000001,Medium,3
21813783,545000.0,85745,-111.103946,32.241681,4.37,13164.11,2008,3,4.0,5741.0,2.0,"Gas Range, Appliance Color: Black, Countertops: Granite",2,Carpet,0.0,"(168999.999, 575000.0]",7.0,13.208542908506082,1.6808279085207734,Low,85745,Tucson,AZ,94.9311966556349,0.27827454328546114,13164.11,High,Low,High,Low,2.2,Medium,3
